time,材料2,材料4,材料5,材料7,材料8,材料10,材料11,材料13,材料55,材料21,材料22
1050,3.4459400000000002,3.96064,4.20535,3.8633025,3.887795,4.0991275,4.427355,3.4211899999999997,3.456625,3.519655,3.52047
1051,3.4390633333333334,3.9846833333333334,4.1578333333333335,4.304703333333333,3.8357733333333335,3.86687,4.21976,3.4162166666666667,3.5222,3.627336666666667,3.8014433333333333
1052,3.3457299999999996,3.990193333333334,4.2802066666666665,4.0735133333333335,3.8377266666666667,4.072346666666667,4.592036666666666,3.40054,3.4567799999999997,3.401196666666667,3.5975800000000002
1053,3.5208933333333334,3.9997733333333336,4.15044,3.7577000000000003,3.864993333333333,3.86642,4.414723333333334,3.3462599999999996,3.4677966666666666,3.49445,3.7649833333333333
1054,3.49335,3.9509566666666665,4.177576666666667,4.3314433333333335,3.845993333333333,4.021986666666667,4.489196666666667,3.38892,3.565576666666667,3.45415,3.5155600000000002
1055,3.322926666666667,3.9415999999999998,4.210273333333333,3.911246666666667,3.8354999999999997,3.7108066666666666,4.554003333333333,3.4883699999999997,3.515363333333333,3.344193333333333,3.87458
1056,3.4864200000000003,3.805476666666667,4.150413333333334,4.089146666666667,3.9229333333333334,4.044693333333334,4.47438,3.47531,3.704006666666667,3.3765133333333335,3.72814
1057,3.42286,3.9898066666666665,4.253393333333333,4.342223333333333,3.827036666666667,4.01406,4.69462,3.488353333333333,3.4899966666666664,3.3194866666666667,3.6981066666666664
1058,3.4501825,3.89634,4.20105,3.8847549999999997,3.915445,3.84032,4.570327499999999,3.486145,3.6098974999999998,3.423545,3.8956925
1059,3.4591,4.000649999999999,4.255076666666667,4.31932,3.8525000000000005,4.005923333333333,4.618073333333333,3.44795,3.340106666666667,3.32166,3.73103
1060,3.4194400000000003,3.932453333333333,4.2421,4.113256666666667,3.8990733333333334,3.68784,4.460156666666667,3.4797333333333333,3.5393433333333335,3.4135266666666664,3.5754333333333332
1061,3.5093133333333335,3.89467,4.222643333333333,3.947526666666666,3.9288000000000003,4.09403,4.8470933333333335,3.3773,3.4402000000000004,3.3976966666666666,3.86326
1062,3.5907366666666665,3.9495233333333335,4.30009,4.043856666666667,3.88529,3.6732,4.313123333333333,3.48395,3.5558033333333334,3.505733333333333,3.8678933333333334
1063,3.3664025,3.7543075,4.1815025,4.0568675,3.917295,3.94276,4.6807225,3.468315,3.327595,3.36037,3.7626075
1064,3.57978,3.9069566666666664,4.317256666666666,4.047096666666667,3.9397033333333336,3.633626666666667,4.2649566666666665,3.5055833333333335,3.6130133333333334,3.475123333333333,3.80865
1065,3.29783,3.7265933333333336,4.17311,4.166136666666667,3.9357733333333336,3.814776666666667,4.696313333333333,3.4825966666666663,3.40389,3.4079300000000003,3.7189099999999997
1066,3.4336800000000003,3.814496666666667,4.30716,3.8945700000000003,3.9761200000000003,3.6820133333333334,4.416413333333334,3.420616666666666,3.472136666666666,3.43952,3.892576666666667
1067,3.427913333333333,3.8906566666666667,4.2247433333333335,4.03005,3.9570900000000004,3.74901,4.5712399999999995,3.3226666666666667,3.4131433333333336,3.4581866666666663,3.8663600000000002
1068,3.489803333333333,3.8685566666666666,4.286639999999999,4.200516666666666,3.9415533333333332,3.7895566666666665,4.743346666666667,3.2622066666666663,3.4010266666666666,3.4868799999999998,3.8715333333333333
1069,3.3852175,3.9043475,4.2705475,3.8944025,3.9125625,3.6611025,4.455215,3.2733725,3.3999800000000002,3.4702175,3.805875
1070,3.535026666666667,3.8733466666666665,4.280083333333334,4.24997,3.8938233333333336,3.79064,4.64761,3.2223900000000003,3.2425200000000003,3.53932,3.8442899999999995
1071,3.3716433333333335,3.829933333333333,4.270056666666666,3.9509566666666665,3.8906333333333336,3.6985466666666666,4.51771,3.269463333333333,3.415156666666667,3.5147,3.805213333333333
1072,3.5427999999999997,3.85185,4.2337533333333335,3.755943333333333,3.9191800000000003,3.8846333333333334,5.108696666666667,3.2048799999999997,3.3634633333333332,3.5289066666666664,3.915863333333333
1073,3.5325466666666667,3.951026666666666,4.310053333333333,3.971513333333333,3.8872,3.719936666666667,4.689493333333334,3.23908,3.4276466666666665,3.4894933333333333,3.903613333333334
1074,3.28223,3.857326666666667,4.241056666666666,4.15046,3.882013333333333,3.818756666666667,4.789643333333333,3.2843666666666667,3.4334466666666668,3.6186666666666665,3.8201099999999997
1075,3.5887100000000003,3.971033333333333,4.0823833333333335,4.03794,3.872453333333333,3.721493333333333,4.52518,3.2578033333333334,3.4338266666666666,3.4883566666666668,3.93018
1076,3.3176375,3.9869,4.0305675,4.0989875,3.84856,3.926205,4.92877,3.2081425,3.4151475,3.485435,3.9332275
1077,3.617483333333334,4.004666666666666,4.001153333333334,3.8987933333333333,3.9136333333333333,3.7366533333333334,4.67668,3.222746666666667,3.5048733333333337,3.481666666666667,3.963573333333333
1078,3.3523333333333327,4.0732,3.9950766666666673,3.7832166666666667,3.8734300000000004,3.904363333333333,5.173253333333333,3.2287033333333333,3.478756666666667,3.439686666666667,4.029433333333333
1079,3.43745,4.066786666666666,3.88697,4.04378,3.9603099999999998,3.8589933333333337,4.583056666666667,3.1805733333333333,3.5297033333333334,3.4658499999999997,3.9111533333333335
1080,3.4770725000000002,3.9439575,3.9904375,3.9101625,3.9124325,3.7492875,5.0328475,3.2775525,3.569605,3.46997,3.964955
1081,3.3840300000000005,4.04845,3.883623333333334,4.174286666666666,3.9197233333333332,3.8206399999999996,4.730146666666666,3.21964,3.578886666666667,3.4845566666666663,3.87933
