wob_min,wob_max,wob_mean,wob_std,wob_skew,wob_kuet,T_min,T_max,T_mean,T_std,T_skew,T_kuet,S,Z,res,序号,岩性名称,设备S,设备Z,静态抗压强度σc/MPa,弹性模量E/GPa,泊松比,抗拉强度 σci /MPa,黏聚力,内摩擦角φ/°,"拉强比
/%","脆性指数
KN/mm",回弹均值 RM,动态强度/MPa, 滑动摩擦系数μ,声级LAeq（dB）,"波速vp
/m·s","密度均值
/g·cm-","渗透率mD
5MPa","孔隙度%
5MPa","粒径Dv(90)
μm"
2.91252,3.81506,3.4367240000000003,0.2776419326798857,-0.2700721860316598,0.044795461203509745,8.663,11.638,10.439499999999999,1.1017525685117426,-0.6947392296630005,-1.2944748819153626,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
3.00655,3.81481,3.4815077777777774,0.23852176073567055,-0.8174191269588152,0.940219397229785,8.468,11.654,9.88788888888889,1.205654640065351,0.2854865389940975,-1.8117248812628652,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.94608,3.80072,3.4031980000000006,0.2735730701821525,-0.43343154181664334,-0.5753246106316245,8.046,11.469,10.0364,1.2446979285486635,-0.5707061548134051,-1.0131761030261779,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.86901,3.79612,3.4165577777777774,0.30352938493570025,-0.47292941803035843,-0.44501093396778924,8.505,11.49,10.137555555555556,0.965641381558277,-0.39729531552030056,-0.4964904895733939,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
2.89961,3.85596,3.389844,0.34610793041092447,-0.08551882435076398,-1.113918449775893,8.695,12.054,10.2026,1.0989457776533935,0.6100753487676406,-0.2887676041419862,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
3.02998,3.85457,3.4028255555555558,0.26025531464847695,0.4241705684607877,-0.19530486903242394,7.756,11.775,10.162666666666667,1.4922345660116576,-0.6236043214241195,-1.2598035415353084,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
3.09411,3.77941,3.4488709999999996,0.27263481083065433,-0.02930872178049057,-1.8521282236482821,7.735,12.144,10.3402,1.4579438184572742,-0.5374252653376006,-0.8247534863655273,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
3.10859,3.73011,3.3811677777777778,0.1959479022455827,0.8210513097192402,0.21916510427340796,7.724,12.629,10.782666666666668,1.6688964167976394,-0.8881255369363923,-0.173150267109353,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
3.09007,3.67384,3.383121,0.19555203515802244,0.08553047605748029,-1.243924002751494,7.787,12.55,10.074900000000001,1.5797508558841384,0.24154515822807396,-0.9709073615633064,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
3.09903,3.60757,3.3581088888888884,0.18875737948782592,-0.05657644226625375,-1.3359516716330413,7.793,12.286,10.257,1.7359526203211884,-0.08454440556936224,-1.9265110655297284,101.4,2.4,材料2,1,材料2,101.4,2.4,110.95,53.58,0.26,6.65,11.85,38.44,16.68,20.47,62.0,193.0,0.153,115.7,5.49,2.86,0.00176,2.08,17.3
