time,材料2,材料4,材料5,材料7,材料8,材料10,材料11,材料13,材料55,材料21,材料22
1050,10.6885,9.60875,16.656,6.98675,13.645,8.67125,14.9225,19.341,5.4544999999999995,6.33825,22.4405
1051,9.269333333333334,9.065,17.168333333333333,7.460333333333334,13.490333333333334,8.660666666666666,14.729666666666667,18.650333333333332,5.512666666666667,6.471,23.235333333333333
1052,10.291,9.423666666666668,16.966333333333335,6.118666666666667,13.126666666666667,9.328333333333333,14.429,19.249666666666666,5.347666666666666,6.423666666666667,20.679000000000002
1053,9.795333333333334,9.697666666666667,16.947,8.309333333333333,13.255,8.089,14.284666666666666,19.299,5.685,6.521666666666666,24.16033333333333
1054,10.090666666666666,9.133333333333333,16.496666666666666,6.709666666666666,13.161999999999999,9.006666666666668,14.458666666666666,18.395,5.739999999999999,6.1546666666666665,21.994
1055,9.802000000000001,9.557,16.926,7.6273333333333335,12.778333333333334,8.579666666666666,16.257,19.504666666666665,5.358,6.474333333333334,24.89
1056,10.4,9.154666666666666,16.59,7.495333333333334,13.135666666666665,8.600666666666667,15.527666666666667,19.319666666666667,5.375666666666667,6.504333333333332,22.650000000000002
1057,9.805666666666667,9.583666666666666,16.523,7.578333333333333,13.146,8.555,15.628,19.395666666666667,4.356333333333333,6.196666666666666,23.724
1058,9.84075,9.279,17.103,8.14875,13.35875,8.812,15.312750000000001,19.639,5.7395,6.66775,22.950499999999998
1059,10.157666666666666,10.467666666666666,16.924,6.495,13.993666666666668,8.49,15.174333333333335,18.53933333333333,5.1883333333333335,6.45,22.695666666666668
1060,8.928666666666667,9.291666666666666,16.861,7.991333333333333,13.304,8.455,16.139333333333333,19.191666666666666,6.177666666666667,6.622,23.998666666666665
1061,10.083666666666666,9.641333333333334,16.548000000000002,7.474333333333334,13.671666666666667,8.634,14.706666666666665,19.084,5.905666666666666,6.799666666666667,22.454666666666668
1062,9.796999999999999,9.381,16.846666666666668,7.709666666666667,13.170666666666667,8.273666666666667,15.359,19.255,5.4863333333333335,6.601,24.606666666666666
1063,10.16775,9.57675,16.67175,7.32725,13.783249999999999,8.46,16.464,19.4135,5.5035,6.52525,23.6665
1064,9.396333333333333,9.513333333333334,17.089333333333332,7.542666666666666,13.634666666666666,8.261333333333333,14.958333333333334,19.282999999999998,5.555,6.406,25.137333333333334
1065,9.836,9.813666666666666,16.426666666666666,7.222999999999999,13.357,8.375666666666667,17.493333333333336,18.922666666666668,5.667333333333333,6.294999999999999,23.627333333333336
1066,9.744333333333334,9.142333333333333,17.502666666666666,7.177,14.137666666666666,8.523333333333333,14.200333333333333,19.051,5.592,6.298333333333333,25.483999999999998
1067,10.164666666666667,9.704666666666666,16.971666666666668,7.706333333333333,14.058666666666667,8.061,16.706,19.337666666666667,5.742999999999999,6.349666666666667,26.33666666666667
1068,9.993666666666668,9.240666666666668,17.399,7.398666666666666,14.194,8.077,15.007,18.537666666666667,5.667666666666666,6.040333333333334,24.64
1069,9.526499999999999,9.6655,16.86575,7.1135,13.35725,8.118500000000001,16.6285,19.0535,6.867,6.33425,24.711
1070,9.644333333333334,9.216000000000001,17.036666666666665,7.388333333333333,14.167333333333334,8.057666666666668,14.873666666666665,18.110333333333333,6.692,6.050666666666667,25.153333333333336
1071,8.918000000000001,8.786999999999999,16.804666666666666,6.759,13.063333333333333,8.206666666666667,17.308666666666667,19.601333333333333,5.359999999999999,6.525333333333333,25.49266666666667
1072,10.108333333333334,9.279666666666666,16.973333333333333,7.945666666666667,13.674999999999999,8.303666666666667,16.572,18.33,5.799333333333333,6.007000000000001,25.598333333333333
1073,9.31,9.502666666666668,17.19666666666667,8.295333333333334,13.627666666666668,8.521666666666667,16.386,18.963,5.442666666666667,6.188,25.670333333333332
1074,9.531333333333334,9.444666666666668,16.725333333333335,6.959333333333333,14.213333333333333,8.411,16.415666666666667,18.402,5.553,6.152666666666666,24.774
1075,9.832333333333333,9.583666666666666,16.929333333333336,7.903333333333333,13.563,8.767666666666667,15.395666666666665,18.356666666666666,5.7923333333333344,6.297,26.294666666666668
1076,9.541,9.45825,17.3775,7.5395,13.991999999999999,8.257,17.37625,18.588250000000002,5.0432500000000005,6.34875,24.54375
1077,9.561333333333334,9.386333333333333,18.117666666666665,6.521333333333334,13.774000000000001,8.892666666666667,15.923333333333332,18.660666666666668,5.808333333333334,6.397333333333333,26.463333333333335
1078,9.888666666666667,9.727666666666666,17.314333333333334,7.669333333333333,14.199333333333334,8.034666666666666,16.908,19.040000000000003,5.752,6.671333333333333,27.00666666666667
1079,9.873,9.581666666666667,17.045333333333332,7.413,14.677,8.407333333333334,16.389333333333333,18.035,5.599,6.706333333333333,25.744333333333334
1080,9.23125,9.771,16.694000000000003,7.715999999999999,14.179,8.27675,17.5545,18.3035,5.7844999999999995,6.631,25.651
1081,9.594666666666667,9.356666666666667,16.765666666666664,7.774666666666666,14.521333333333333,8.338666666666667,16.294,18.523666666666667,5.463333333333334,6.494,25.452333333333332
1082,9.467999999999998,9.351333333333335,16.569000000000003,7.147333333333333,14.623,8.178666666666667,18.86466666666667,18.377666666666666,5.472666666666666,6.5553333333333335,26.586333333333332
1083,9.802333333333333,9.659,16.595333333333333,7.866333333333333,15.057333333333332,8.802999999999999,17.345666666666666,17.361333333333334,5.973333333333333,7.047666666666667,24.301
1084,9.857,9.893,16.530333333333335,7.454999999999999,14.542000000000002,7.964333333333333,16.776,18.305666666666667,4.706333333333333,6.576333333333333,26.041666666666668
