遗传代数,参数,VAF
0,"{'max_depth': 8, 'learning_rate': 0.18116868608879355, 'subsample': 0.8246448188881403, 'colsample_bytree': 0.9904288711182745}",96.38947045652941
1,"{'max_depth': 7, 'learning_rate': 0.19698740811034907, 'subsample': 0.2971839542425514, 'colsample_bytree': 0.7782658595490021}",96.69006294153522
2,"{'max_depth': 10, 'learning_rate': 0.15209141301549375, 'subsample': 0.2971839542425514, 'colsample_bytree': 0.42343359876384296}",96.69006294153522
3,"{'max_depth': 8, 'learning_rate': 0.1606375300512302, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.9843969936688426}",97.0394365363052
4,"{'max_depth': 5, 'learning_rate': 0.257656260223087, 'subsample': 0.4069436743706392, 'colsample_bytree': 0.8049863986015626}",96.7490920686162
5,"{'max_depth': 8, 'learning_rate': 0.10222414008099825, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.9309678194318081}",96.7490920686162
6,"{'max_depth': 8, 'learning_rate': 0.10222414008099825, 'subsample': 0.8056907194831857, 'colsample_bytree': 0.6481082553539206}",97.0394365363052
7,"{'max_depth': 8, 'learning_rate': 0.10222414008099825, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.9843969936688426}",96.7490920686162
8,"{'max_depth': 10, 'learning_rate': 0.18236104547070428, 'subsample': 0.3954088504432945, 'colsample_bytree': 0.9531349767636287}",97.14199724108408
9,"{'max_depth': 7, 'learning_rate': 0.1606375300512302, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.5641596998616463}",96.64362607970035
10,"{'max_depth': 6, 'learning_rate': 0.16988542757481298, 'subsample': 0.8056907194831857, 'colsample_bytree': 0.6481082553539206}",96.74438932721648
11,"{'max_depth': 8, 'learning_rate': 0.1606375300512302, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.9531349767636287}",97.0394365363052
12,"{'max_depth': 6, 'learning_rate': 0.1606375300512302, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.8926624551433976}",97.0394365363052
13,"{'max_depth': 6, 'learning_rate': 0.1606375300512302, 'subsample': 0.38198534697983316, 'colsample_bytree': 0.5641596998616463}",97.0394365363052
14,"{'max_depth': 7, 'learning_rate': 0.24765687968440497, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.6611266065638292}",96.70263363303934
15,"{'max_depth': 6, 'learning_rate': 0.1606375300512302, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.6672380931880962}",96.66508787135056
16,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.42343359876384296}",96.31403944208402
17,"{'max_depth': 7, 'learning_rate': 0.1517277743806988, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.6611266065638292}",96.23264508243614
18,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.6611266065638292}",96.5141262019204
19,"{'max_depth': 10, 'learning_rate': 0.08708204674850846, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.37949098788968
20,"{'max_depth': 6, 'learning_rate': 0.05343366716593145, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.6611266065638292}",96.45279237801485
21,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.42343359876384296}",96.45279237801485
22,"{'max_depth': 10, 'learning_rate': 0.08708204674850846, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.6977295189353261}",96.43019097493139
23,"{'max_depth': 10, 'learning_rate': 0.08708204674850846, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.6977295189353261}",96.43019097493139
24,"{'max_depth': 10, 'learning_rate': 0.08708204674850846, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.8926624551433976}",96.90015319488481
25,"{'max_depth': 6, 'learning_rate': 0.1606375300512302, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.6611266065638292}",96.90015319488481
26,"{'max_depth': 6, 'learning_rate': 0.1606375300512302, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.6611266065638292}",96.90015319488481
27,"{'max_depth': 6, 'learning_rate': 0.05343366716593145, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.42343359876384296}",96.38001242273411
28,"{'max_depth': 6, 'learning_rate': 0.05343366716593145, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.37949098788968
29,"{'max_depth': 6, 'learning_rate': 0.05343366716593145, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.3655952139110409}",96.37949098788968
30,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.5641596998616463}",96.31073718270302
31,"{'max_depth': 6, 'learning_rate': 0.05343366716593145, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.08095815385094
32,"{'max_depth': 6, 'learning_rate': 0.05343366716593145, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.5641596998616463}",96.37949098788968
33,"{'max_depth': 10, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.48270694951238
34,"{'max_depth': 10, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.48270694951238
35,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.37949098788968
36,"{'max_depth': 10, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.37949098788968
37,"{'max_depth': 6, 'learning_rate': 0.08708204674850846, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.37949098788968
38,"{'max_depth': 10, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.08095815385094
39,"{'max_depth': 6, 'learning_rate': 0.08708204674850846, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.37949098788968
40,"{'max_depth': 6, 'learning_rate': 0.08708204674850846, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.3655952139110409}",96.37949098788968
41,"{'max_depth': 10, 'learning_rate': 0.1606375300512302, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.31136011863086
42,"{'max_depth': 6, 'learning_rate': 0.1606375300512302, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.31136011863086
43,"{'max_depth': 6, 'learning_rate': 0.05343366716593145, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.3655952139110409}",96.31136011863086
44,"{'max_depth': 10, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.08095815385094
45,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.31136011863086
46,"{'max_depth': 10, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.31136011863086
47,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.46014802926991405}",96.08095815385094
48,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.5641596998616463}",96.08095815385094
49,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.08095815385094
50,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.30261422185798
51,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.08095815385094
52,"{'max_depth': 10, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.3655952139110409}",96.08095815385094
53,"{'max_depth': 10, 'learning_rate': 0.2623571698041095, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.3655952139110409}",96.08095815385094
54,"{'max_depth': 10, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.08095815385094
55,"{'max_depth': 10, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.08095815385094
56,"{'max_depth': 10, 'learning_rate': 0.1517277743806988, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.3655952139110409}",96.37919598936578
57,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.5641596998616463}",96.43019097493139
58,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.08095815385094
59,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.5641596998616463}",96.08095815385094
60,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.514389516070308}",96.08095815385094
61,"{'max_depth': 6, 'learning_rate': 0.2623571698041095, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.6403474679495127}",96.08095815385094
62,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.514389516070308}",96.08095815385094
63,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.514389516070308}",95.90462759250399
64,"{'max_depth': 6, 'learning_rate': 0.2623571698041095, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.5641596998616463}",95.96216857190439
65,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.514389516070308}",96.08095815385094
66,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",95.90462759250399
67,"{'max_depth': 10, 'learning_rate': 0.1517277743806988, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.5641596998616463}",95.90462759250399
68,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",95.90462759250399
69,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.514389516070308}",96.08095815385094
70,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.4109307763040389, 'colsample_bytree': 0.5641596998616463}",96.44077962291735
71,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",95.90462759250399
72,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",95.90462759250399
73,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.46476323222259774, 'colsample_bytree': 0.514389516070308}",95.90462759250399
74,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.4109307763040389, 'colsample_bytree': 0.514389516070308}",95.90462759250399
75,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",95.90462759250399
76,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.514389516070308}",95.90462759250399
77,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.514389516070308}",95.90462759250399
78,"{'max_depth': 5, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",95.90462759250399
79,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",95.90462759250399
80,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",95.90462759250399
81,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.16778912546812
82,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.16778912546812
83,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",95.90462759250399
84,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",95.90462759250399
85,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",95.90462759250399
86,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",95.90462759250399
87,"{'max_depth': 6, 'learning_rate': 0.1362391301191862, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.34334467263847
88,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.34334467263847
89,"{'max_depth': 6, 'learning_rate': 0.1362391301191862, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.34334467263847
90,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.34334467263847
91,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.514389516070308}",96.34334467263847
92,"{'max_depth': 5, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.86733677373392
93,"{'max_depth': 5, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.86733677373392
94,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.34334467263847
95,"{'max_depth': 5, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.34334467263847
96,"{'max_depth': 6, 'learning_rate': 0.1362391301191862, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.34334467263847
97,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.34334467263847
98,"{'max_depth': 5, 'learning_rate': 0.1517277743806988, 'subsample': 0.932540444520024, 'colsample_bytree': 0.5641596998616463}",96.34334467263847
99,"{'max_depth': 6, 'learning_rate': 0.1517277743806988, 'subsample': 0.8381406073108902, 'colsample_bytree': 0.5641596998616463}",96.34334467263847
