遗传代数,参数,VAF
0,"{'max_depth': 8, 'learning_rate': 0.23105720468025567, 'subsample': 0.7006294719040717, 'colsample_bytree': 0.8834156209755272}",95.88457012791254
1,"{'max_depth': 10, 'learning_rate': 0.03679852904605719, 'subsample': 0.8970017882812921, 'colsample_bytree': 0.33030625071846115}",96.995912500538
2,"{'max_depth': 8, 'learning_rate': 0.03679852904605719, 'subsample': 0.31640346023524013, 'colsample_bytree': 0.8285971437227765}",96.38647866859988
3,"{'max_depth': 8, 'learning_rate': 0.1357427107396672, 'subsample': 0.5228675855274677, 'colsample_bytree': 0.46200601394373575}",96.995912500538
4,"{'max_depth': 8, 'learning_rate': 0.1357427107396672, 'subsample': 0.8970017882812921, 'colsample_bytree': 0.8285971437227765}",96.73683080034857
5,"{'max_depth': 8, 'learning_rate': 0.025571476766977325, 'subsample': 0.8023589056500918, 'colsample_bytree': 0.8834156209755272}",96.73683080034857
6,"{'max_depth': 8, 'learning_rate': 0.23105720468025567, 'subsample': 0.7006294719040717, 'colsample_bytree': 0.8834156209755272}",96.73683080034857
7,"{'max_depth': 8, 'learning_rate': 0.1357427107396672, 'subsample': 0.8023589056500918, 'colsample_bytree': 0.8285971437227765}",96.75507133891061
8,"{'max_depth': 8, 'learning_rate': 0.1357427107396672, 'subsample': 0.8023589056500918, 'colsample_bytree': 0.8285971437227765}",96.75507133891061
9,"{'max_depth': 8, 'learning_rate': 0.03679852904605719, 'subsample': 0.8970017882812921, 'colsample_bytree': 0.8285971437227765}",96.78051772876687
10,"{'max_depth': 8, 'learning_rate': 0.03679852904605719, 'subsample': 0.8970017882812921, 'colsample_bytree': 0.8285971437227765}",96.78051772876687
11,"{'max_depth': 8, 'learning_rate': 0.03679852904605719, 'subsample': 0.8970017882812921, 'colsample_bytree': 0.8285971437227765}",96.65633646164353
12,"{'max_depth': 8, 'learning_rate': 0.03679852904605719, 'subsample': 0.8970017882812921, 'colsample_bytree': 0.8285971437227765}",96.43878963581619
13,"{'max_depth': 9, 'learning_rate': 0.23105720468025567, 'subsample': 0.8023589056500918, 'colsample_bytree': 0.8285971437227765}",96.65633646164353
14,"{'max_depth': 8, 'learning_rate': 0.23105720468025567, 'subsample': 0.7006294719040717, 'colsample_bytree': 0.8285971437227765}",96.75507133891061
15,"{'max_depth': 8, 'learning_rate': 0.1357427107396672, 'subsample': 0.8970017882812921, 'colsample_bytree': 0.8285971437227765}",96.73683080034857
16,"{'max_depth': 8, 'learning_rate': 0.1357427107396672, 'subsample': 0.8970017882812921, 'colsample_bytree': 0.8285971437227765}",96.73683080034857
17,"{'max_depth': 8, 'learning_rate': 0.23105720468025567, 'subsample': 0.8970017882812921, 'colsample_bytree': 0.8285971437227765}",96.73683080034857
18,"{'max_depth': 8, 'learning_rate': 0.1357427107396672, 'subsample': 0.7375273729224735, 'colsample_bytree': 0.8834156209755272}",96.74013438684533
19,"{'max_depth': 8, 'learning_rate': 0.1357427107396672, 'subsample': 0.8970017882812921, 'colsample_bytree': 0.8285971437227765}",96.73683080034857
20,"{'max_depth': 10, 'learning_rate': 0.23105720468025567, 'subsample': 0.8970017882812921, 'colsample_bytree': 0.5404331460453122}",96.74013438684533
21,"{'max_depth': 8, 'learning_rate': 0.23105720468025567, 'subsample': 0.7006294719040717, 'colsample_bytree': 0.8285971437227765}",96.743589114378
22,"{'max_depth': 8, 'learning_rate': 0.1357427107396672, 'subsample': 0.8970017882812921, 'colsample_bytree': 0.8285971437227765}",96.73683080034857
23,"{'max_depth': 9, 'learning_rate': 0.1357427107396672, 'subsample': 0.8970017882812921, 'colsample_bytree': 0.8285971437227765}",96.91368773459108
24,"{'max_depth': 8, 'learning_rate': 0.1357427107396672, 'subsample': 0.8970017882812921, 'colsample_bytree': 0.8285971437227765}",96.91368773459108
25,"{'max_depth': 9, 'learning_rate': 0.1357427107396672, 'subsample': 0.8970017882812921, 'colsample_bytree': 0.8285971437227765}",96.91368773459108
26,"{'max_depth': 9, 'learning_rate': 0.1357427107396672, 'subsample': 0.8970017882812921, 'colsample_bytree': 0.8285971437227765}",96.91368773459108
