遗传代数,参数,VAF
0,"{'max_depth': 8, 'learning_rate': 0.09208871702012668, 'subsample': 0.7334424109357156, 'colsample_bytree': 0.966545077638099}",96.26489093146687
1,"{'max_depth': 8, 'learning_rate': 0.10007385097003337, 'subsample': 0.9386992330581294, 'colsample_bytree': 0.8674090861812033}",96.78099262396874
2,"{'max_depth': 4, 'learning_rate': 0.2895399667063225, 'subsample': 0.7317434665485941, 'colsample_bytree': 0.6777217771452997}",96.58027978153518
3,"{'max_depth': 8, 'learning_rate': 0.26441852791320736, 'subsample': 0.9590583999661358, 'colsample_bytree': 0.3547068375952573}",97.00827508546763
4,"{'max_depth': 8, 'learning_rate': 0.10007385097003337, 'subsample': 0.8550904232350591, 'colsample_bytree': 0.966545077638099}",97.03626322185272
5,"{'max_depth': 8, 'learning_rate': 0.26441852791320736, 'subsample': 0.14644237034251328, 'colsample_bytree': 0.3547068375952573}",97.32763285549608
6,"{'max_depth': 4, 'learning_rate': 0.26441852791320736, 'subsample': 0.9590583999661358, 'colsample_bytree': 0.966545077638099}",96.9078101986871
7,"{'max_depth': 8, 'learning_rate': 0.05902602079062867, 'subsample': 0.14644237034251328, 'colsample_bytree': 0.17176203501498877}",97.32763285549608
8,"{'max_depth': 10, 'learning_rate': 0.10337656370255204, 'subsample': 0.911804693383399, 'colsample_bytree': 0.966545077638099}",97.32763285549608
9,"{'max_depth': 10, 'learning_rate': 0.09208871702012668, 'subsample': 0.9590583999661358, 'colsample_bytree': 0.966545077638099}",97.10232562167282
10,"{'max_depth': 8, 'learning_rate': 0.10337656370255204, 'subsample': 0.911804693383399, 'colsample_bytree': 0.966545077638099}",97.10232562167282
11,"{'max_depth': 8, 'learning_rate': 0.26441852791320736, 'subsample': 0.9590583999661358, 'colsample_bytree': 0.966545077638099}",97.08907989591204
12,"{'max_depth': 8, 'learning_rate': 0.10337656370255204, 'subsample': 0.7642322076680578, 'colsample_bytree': 0.7904871831769944}",97.08907989591204
13,"{'max_depth': 8, 'learning_rate': 0.10337656370255204, 'subsample': 0.8550904232350591, 'colsample_bytree': 0.966545077638099}",97.16655612774288
14,"{'max_depth': 8, 'learning_rate': 0.10337656370255204, 'subsample': 0.8550904232350591, 'colsample_bytree': 0.966545077638099}",97.16655612774288
15,"{'max_depth': 8, 'learning_rate': 0.10337656370255204, 'subsample': 0.7642322076680578, 'colsample_bytree': 0.966545077638099}",97.32763285549608
