遗传代数,参数,VAF
0,"{'max_depth': 9, 'learning_rate': 0.10973384102477131, 'subsample': 0.7326796524665727, 'colsample_bytree': 0.8839273779646495}",96.68433550700553
1,"{'max_depth': 7, 'learning_rate': 0.10973384102477131, 'subsample': 0.7326796524665727, 'colsample_bytree': 0.6249152492204729}",96.43168001594933
2,"{'max_depth': 9, 'learning_rate': 0.29762202002716037, 'subsample': 0.23606004337235337, 'colsample_bytree': 0.9451204854637031}",96.84732291889974
3,"{'max_depth': 6, 'learning_rate': 0.12112881741790907, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",97.04891088956535
4,"{'max_depth': 9, 'learning_rate': 0.1344622611844037, 'subsample': 0.5387727870458818, 'colsample_bytree': 0.813129503208387}",96.5775253396617
5,"{'max_depth': 9, 'learning_rate': 0.1344622611844037, 'subsample': 0.5387727870458818, 'colsample_bytree': 0.813129503208387}",96.5775253396617
6,"{'max_depth': 7, 'learning_rate': 0.1344622611844037, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.42743057648661
7,"{'max_depth': 7, 'learning_rate': 0.1344622611844037, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.6878042884691
8,"{'max_depth': 7, 'learning_rate': 0.1344622611844037, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.6878042884691
9,"{'max_depth': 6, 'learning_rate': 0.23981922466260996, 'subsample': 0.5387727870458818, 'colsample_bytree': 0.813129503208387}",96.46543690277247
10,"{'max_depth': 6, 'learning_rate': 0.12112881741790907, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.42743057648661
11,"{'max_depth': 6, 'learning_rate': 0.12112881741790907, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.42743057648661
12,"{'max_depth': 6, 'learning_rate': 0.12112881741790907, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.42743057648661
13,"{'max_depth': 6, 'learning_rate': 0.12112881741790907, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.42401916404211
14,"{'max_depth': 7, 'learning_rate': 0.12112881741790907, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.42743057648661
15,"{'max_depth': 7, 'learning_rate': 0.1344622611844037, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.42743057648661
16,"{'max_depth': 7, 'learning_rate': 0.13085909698157167, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.4081147159074
17,"{'max_depth': 7, 'learning_rate': 0.13085909698157167, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.4634166543421
18,"{'max_depth': 7, 'learning_rate': 0.13085909698157167, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.4634166543421
19,"{'max_depth': 7, 'learning_rate': 0.13085909698157167, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.66086004120835
20,"{'max_depth': 7, 'learning_rate': 0.03613160792979814, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.55808051291123
21,"{'max_depth': 7, 'learning_rate': 0.1344622611844037, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.7698252573691
22,"{'max_depth': 7, 'learning_rate': 0.13085909698157167, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.84501918440598
23,"{'max_depth': 7, 'learning_rate': 0.23981922466260996, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.46543690277247
24,"{'max_depth': 7, 'learning_rate': 0.1344622611844037, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.98570785042617
25,"{'max_depth': 7, 'learning_rate': 0.1344622611844037, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.98570785042617
26,"{'max_depth': 7, 'learning_rate': 0.1344622611844037, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.98570785042617
27,"{'max_depth': 7, 'learning_rate': 0.1344622611844037, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.98570785042617
28,"{'max_depth': 7, 'learning_rate': 0.1344622611844037, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.7698252573691
29,"{'max_depth': 7, 'learning_rate': 0.1344622611844037, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.46543690277247
30,"{'max_depth': 7, 'learning_rate': 0.1344622611844037, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.46543690277247
31,"{'max_depth': 7, 'learning_rate': 0.1344622611844037, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.42743057648661
32,"{'max_depth': 6, 'learning_rate': 0.13085909698157167, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.42743057648661
33,"{'max_depth': 7, 'learning_rate': 0.1344622611844037, 'subsample': 0.9336734098482213, 'colsample_bytree': 0.813129503208387}",96.42743057648661
