遗传代数,参数,R平方
0,"{'max_depth': 9, 'learning_rate': 0.11816436462649858, 'subsample': 0.8023695074338009, 'colsample_bytree': 0.6805677754425102}",0.9671218575574595
1,"{'max_depth': 7, 'learning_rate': 0.22509437827378453, 'subsample': 0.6752593117330717, 'colsample_bytree': 0.9512099233110509}",0.9671218575574595
2,"{'max_depth': 9, 'learning_rate': 0.11816436462649858, 'subsample': 0.8023695074338009, 'colsample_bytree': 0.6805677754425102}",0.9671218575574595
3,"{'max_depth': 9, 'learning_rate': 0.11816436462649858, 'subsample': 0.8023695074338009, 'colsample_bytree': 0.6805677754425102}",0.9671218575574595
4,"{'max_depth': 7, 'learning_rate': 0.033664421004701225, 'subsample': 0.8512924833695543, 'colsample_bytree': 0.6747993535437478}",0.969822125483503
5,"{'max_depth': 7, 'learning_rate': 0.033664421004701225, 'subsample': 0.8512924833695543, 'colsample_bytree': 0.6747993535437478}",0.969822125483503
6,"{'max_depth': 9, 'learning_rate': 0.033664421004701225, 'subsample': 0.6752593117330717, 'colsample_bytree': 0.6805677754425102}",0.9671218575574595
7,"{'max_depth': 9, 'learning_rate': 0.11816436462649858, 'subsample': 0.8023695074338009, 'colsample_bytree': 0.6805677754425102}",0.9671218575574595
8,"{'max_depth': 9, 'learning_rate': 0.11816436462649858, 'subsample': 0.8023695074338009, 'colsample_bytree': 0.9609352950831679}",0.9707133692782042
9,"{'max_depth': 9, 'learning_rate': 0.22509437827378453, 'subsample': 0.8512924833695543, 'colsample_bytree': 0.6805677754425102}",0.9671218575574595
10,"{'max_depth': 9, 'learning_rate': 0.11816436462649858, 'subsample': 0.6752593117330717, 'colsample_bytree': 0.9609352950831679}",0.9699730013928499
11,"{'max_depth': 9, 'learning_rate': 0.11816436462649858, 'subsample': 0.8023695074338009, 'colsample_bytree': 0.6805677754425102}",0.9707133692782042
12,"{'max_depth': 9, 'learning_rate': 0.11816436462649858, 'subsample': 0.8023695074338009, 'colsample_bytree': 0.6864557927845574}",0.9690012651960733
13,"{'max_depth': 9, 'learning_rate': 0.11816436462649858, 'subsample': 0.8023695074338009, 'colsample_bytree': 0.6805677754425102}",0.9707133692782042
14,"{'max_depth': 9, 'learning_rate': 0.11816436462649858, 'subsample': 0.8023695074338009, 'colsample_bytree': 0.7855815120797688}",0.9724685002152327
15,"{'max_depth': 9, 'learning_rate': 0.11816436462649858, 'subsample': 0.8023695074338009, 'colsample_bytree': 0.787135295082823}",0.9707133692782042
16,"{'max_depth': 8, 'learning_rate': 0.11816436462649858, 'subsample': 0.8512924833695543, 'colsample_bytree': 0.787135295082823}",0.9666065812050783
17,"{'max_depth': 8, 'learning_rate': 0.11816436462649858, 'subsample': 0.8512924833695543, 'colsample_bytree': 0.787135295082823}",0.9674322746665056
18,"{'max_depth': 8, 'learning_rate': 0.10111934099118851, 'subsample': 0.10316294824484284, 'colsample_bytree': 0.787135295082823}",0.9722035411868074
19,"{'max_depth': 9, 'learning_rate': 0.11816436462649858, 'subsample': 0.8512924833695543, 'colsample_bytree': 0.787135295082823}",0.9707336823822955
20,"{'max_depth': 9, 'learning_rate': 0.11816436462649858, 'subsample': 0.8512924833695543, 'colsample_bytree': 0.787135295082823}",0.9707336823822955
21,"{'max_depth': 8, 'learning_rate': 0.11816436462649858, 'subsample': 0.8512924833695543, 'colsample_bytree': 0.787135295082823}",0.9686495267056421
22,"{'max_depth': 9, 'learning_rate': 0.11816436462649858, 'subsample': 0.8512924833695543, 'colsample_bytree': 0.787135295082823}",0.9701193635533863
23,"{'max_depth': 9, 'learning_rate': 0.11816436462649858, 'subsample': 0.8512924833695543, 'colsample_bytree': 0.787135295082823}",0.9731141524429334
24,"{'max_depth': 9, 'learning_rate': 0.11816436462649858, 'subsample': 0.8512924833695543, 'colsample_bytree': 0.787135295082823}",0.9731141524429334
25,"{'max_depth': 9, 'learning_rate': 0.11816436462649858, 'subsample': 0.8512924833695543, 'colsample_bytree': 0.787135295082823}",0.9689596477517661
26,"{'max_depth': 8, 'learning_rate': 0.11816436462649858, 'subsample': 0.8512924833695543, 'colsample_bytree': 0.787135295082823}",0.9689596477517661
27,"{'max_depth': 9, 'learning_rate': 0.11816436462649858, 'subsample': 0.8407728882805162, 'colsample_bytree': 0.787135295082823}",0.9693787060992199
28,"{'max_depth': 8, 'learning_rate': 0.11816436462649858, 'subsample': 0.8512924833695543, 'colsample_bytree': 0.787135295082823}",0.9693787060992199
29,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.6891883230775853}",0.9697001092003205
30,"{'max_depth': 8, 'learning_rate': 0.20980471132308376, 'subsample': 0.8512924833695543, 'colsample_bytree': 0.787135295082823}",0.9697001092003205
31,"{'max_depth': 8, 'learning_rate': 0.10111934099118851, 'subsample': 0.8512924833695543, 'colsample_bytree': 0.746476178614264}",0.9716590965182593
32,"{'max_depth': 9, 'learning_rate': 0.10111934099118851, 'subsample': 0.8512924833695543, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
33,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
34,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
35,"{'max_depth': 9, 'learning_rate': 0.10111934099118851, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.9769186954991053}",0.9725800139268708
36,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9413313823923045, 'colsample_bytree': 0.787135295082823}",0.9763660109932896
37,"{'max_depth': 8, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9763660109932896
38,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
39,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.8512924833695543, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
40,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
41,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
42,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
43,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
44,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
45,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
46,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
47,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
48,"{'max_depth': 8, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
49,"{'max_depth': 8, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
50,"{'max_depth': 9, 'learning_rate': 0.2538205506915373, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9734669393364914
51,"{'max_depth': 9, 'learning_rate': 0.14800692549567945, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
52,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
53,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
54,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
55,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
56,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
57,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
58,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.787135295082823}",0.9725800139268708
59,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.7825145354878965}",0.9725800139268708
60,"{'max_depth': 9, 'learning_rate': 0.0809185421551881, 'subsample': 0.9338533743107814, 'colsample_bytree': 0.6930787978480272}",0.9725800139268708
