ytest,ypred
55.67,55.646400000000064
53.31,53.31000000000005
53.31,53.31000000000005
65.07,65.06999999999992
66.72,66.72000000000004
63.23,63.229999999999855
55.67,55.670000000000066
57.14,57.131900000000016
56.53,56.53
60.21,60.21000000000003
55.67,55.670000000000066
55.67,54.93840000000009
53.31,54.20680000000007
56.53,56.53
53.31,53.31000000000005
55.67,55.670000000000066
55.67,55.670000000000066
53.31,53.40440000000006
63.23,63.229999999999855
65.07,64.86239999999994
66.72,66.61810000000003
60.21,60.21000000000003
56.53,56.53
63.23,63.229999999999855
53.31,54.23040000000005
57.14,56.96850000000005
57.11,57.119399999999935
57.11,57.110899999999944
53.31,53.333600000000054
57.99,57.98149999999986
63.54,63.53999999999997
57.11,57.19859999999992
53.31,53.31000000000005
60.21,60.21000000000003
57.11,57.3035999999999
66.72,66.72000000000004
57.99,57.54799999999998
57.11,57.13959999999993
60.21,60.21000000000003
57.99,57.98999999999987
63.54,63.53689999999997
65.07,65.06999999999994
57.11,57.13729999999993
56.53,56.53
55.67,55.670000000000066
66.72,66.72000000000004
66.72,66.37940000000005
57.14,57.14850000000007
63.54,63.515199999999965
53.31,53.31000000000005
60.21,60.21000000000003
66.72,66.72000000000004
57.99,57.26999999999995
60.21,60.21000000000003
57.14,57.360400000000006
63.54,63.518299999999975
60.21,60.21000000000003
60.21,60.21000000000003
56.53,56.631899999999995
56.53,56.53
57.11,57.12789999999993
57.14,57.146700000000045
63.23,62.825299999999906
63.54,63.53999999999997
63.23,63.229999999999855
60.21,60.21000000000003
60.21,60.21000000000003
63.54,63.53999999999997
65.07,65.06999999999992
65.07,65.06999999999994
60.21,60.30060000000003
63.23,61.745599999999904
65.07,65.06999999999992
65.07,65.06999999999992
63.54,63.53999999999997
57.14,57.140000000000065
65.07,65.06999999999994
57.11,57.113299999999946
63.54,63.53689999999997
63.54,63.53999999999997
57.14,57.13970000000007
55.67,55.670000000000066
53.31,53.71120000000006
65.07,65.06999999999992
53.31,53.31000000000005
57.11,57.25079999999993
65.07,65.06999999999992
57.11,57.15429999999993
63.23,65.08499999999994
63.23,63.229999999999855
60.21,60.06280000000003
63.23,63.236199999999855
65.07,65.11949999999993
55.67,55.670000000000066
60.21,61.16699999999996
53.31,54.018000000000065
57.99,57.67549999999992
63.23,63.229999999999855
63.23,63.229999999999855
56.53,56.53
63.23,63.23309999999986
56.53,58.03359999999997
53.31,53.31000000000005
56.53,56.53
57.14,57.145800000000044
53.31,53.357200000000056
57.14,57.13280000000002
55.67,55.670000000000066
66.72,66.72000000000004
57.99,57.462699999999984
57.14,57.14850000000007
57.11,57.13639999999994
66.72,66.72000000000004
63.54,63.53999999999997
63.23,63.229999999999855
66.72,66.61810000000006
53.31,53.333600000000054
63.23,63.229999999999855
53.31,53.380800000000065
63.54,63.53689999999997
57.14,57.136700000000054
60.21,60.21000000000003
63.23,63.28579999999989
53.31,53.40440000000006
66.72,66.72000000000004
56.53,56.53
57.11,57.146699999999946
57.14,57.13790000000005
63.23,63.26719999999987
53.31,54.32480000000006
53.31,53.78200000000005
57.11,57.1374
60.21,60.21000000000003
57.99,57.97239999999986
57.99,57.83459999999988
63.23,63.43769999999995
66.72,66.62100000000005
66.72,66.72000000000004
55.67,55.670000000000066
56.53,56.53
53.31,53.31000000000005
57.99,57.92839999999987
56.53,56.597
57.99,57.42699999999997
57.11,57.16609999999992
57.11,57.16319999999998
55.67,55.22160000000006
66.72,66.72000000000004
56.53,57.564599999999984
53.31,55.150800000000054
65.07,65.06999999999992
56.53,56.53
60.21,60.17320000000004
56.53,56.53
57.11,57.12789999999995
60.21,60.17320000000004
63.54,63.53999999999997
66.72,66.72000000000004
56.53,57.05509999999998
57.14,57.16370000000004
60.21,60.21000000000003
66.72,64.68200000000002
66.72,66.72000000000004
53.31,53.31000000000005
63.54,63.53069999999996
53.31,53.82920000000006
55.67,55.670000000000066
53.31,53.333600000000054
53.31,53.31000000000005
63.54,63.47489999999994
60.21,60.21000000000003
60.21,60.21000000000003
57.99,57.98999999999987
55.67,55.670000000000066
57.11,57.14729999999993
63.23,63.229999999999855
57.99,57.98999999999987
57.14,57.133799999999994
53.31,53.66400000000007
66.72,66.72000000000004
63.54,63.53999999999997
57.99,57.816899999999876
65.07,65.06999999999992
57.99,58.19899999999987
66.72,66.72000000000004
60.21,60.21000000000003
57.14,57.13880000000007
53.31,53.31000000000005
53.31,53.31000000000005
55.67,54.89120000000006
66.72,66.72000000000004
66.72,66.72000000000004
55.67,55.670000000000066
57.14,57.13250000000002
57.14,57.14850000000007
66.72,66.72000000000004
57.14,57.14980000000001
55.67,55.52840000000006
63.23,63.245499999999865
57.99,57.92899999999987
63.54,63.53689999999997
66.72,66.72000000000004
63.23,63.229999999999855
57.11,57.29539999999994
57.14,57.239600000000046
63.54,63.53999999999997
63.54,63.52139999999998
55.67,55.26880000000006
57.99,57.98999999999987
57.14,57.14830000000002
66.72,66.72000000000004
57.11,57.16549999999992
63.54,63.53999999999997
60.21,60.21000000000003
57.11,57.109999999999935
63.54,63.53999999999997
63.54,63.53999999999997
60.21,60.21000000000003
56.53,56.53
57.14,57.129599999999975
57.99,58.16449999999986
60.21,60.21000000000003
57.11,57.11059999999995
57.14,57.140000000000065
53.31,53.31000000000005
63.54,63.53999999999997
65.07,65.06999999999992
65.07,65.06999999999992
63.23,63.229999999999855
66.72,66.72000000000004
57.14,57.19040000000005
65.07,65.06999999999994
66.72,66.72000000000004
65.07,65.08649999999993
63.54,63.53689999999997
63.23,63.23929999999986
57.14,57.140000000000065
57.11,57.110299999999945
53.31,55.10360000000008
63.54,63.49039999999995
53.31,54.065200000000075
66.72,66.72000000000004
53.31,53.42800000000007
56.53,58.261499999999984
57.14,57.13730000000007
53.31,53.31000000000005
63.23,63.229999999999855
53.31,53.31000000000005
63.23,63.350899999999875
56.53,56.53
57.99,57.98999999999987
65.07,65.08649999999993
56.53,56.53
63.23,63.229999999999855
63.54,63.381899999999916
53.31,53.80560000000008
57.99,57.8618999999999
63.54,63.53999999999997
57.99,57.589599999999976
55.67,53.59320000000005
63.23,63.229999999999855
57.99,57.589599999999976
